race,number
Anti-Black or African American         ,2295
Anti-Jewish                                                                                                                     ,1100
Anti-Gay (Male)    ,802
Anti-White           ,679
Anti-Hispanic or Latino       ,574
Anti-Lesbian     ,429
Anti-Other Race/Ethnicity/Ancestry  ,322
Anti-Asian         ,198
Anti-Islamic (Muslim)        ,196
Anti-Transgender       ,158
"Anti-Multiple Races, Group         ",139
Anti-Arab        ,119
Anti-Mental Disability          ,101
Anti-American Indian or Alaska Native     ,97
Anti-Other Religion       ,88
Anti-Catholic                    ,74
Anti-Sikh                ,66
Anti-Female                ,64
"Anti-Eastern Orthodox (Russian, Greek, Other)     ",53
Anti-Other Christian      ,51
etc,287
