date,county,state,cases,deaths
2020-12-31,Autauga,Alabama,4190,48
2020-12-31,Baldwin,Alabama,13601,161
2020-12-31,Barbour,Alabama,1514,32
2020-12-31,Bibb,Alabama,1834,46
2020-12-31,Blount,Alabama,4641,63
2020-12-31,Bullock,Alabama,859,22
2020-12-31,Butler,Alabama,1508,45
2020-12-31,Calhoun,Alabama,9494,156
2020-12-31,Chambers,Alabama,2341,63
2020-12-31,Cherokee,Alabama,1414,22
2020-12-31,Chilton,Alabama,2970,54
2020-12-31,Choctaw,Alabama,490,22
2020-12-31,Clarke,Alabama,2390,25
2020-12-31,Clay,Alabama,1141,34
2020-12-31,Cleburne,Alabama,1026,16
2020-12-31,Coffee,Alabama,3594,38
2020-12-31,Colbert,Alabama,4660,60
2020-12-31,Conecuh,Alabama,837,17
2020-12-31,Coosa,Alabama,517,7
2020-12-31,Covington,Alabama,2913,40
2020-12-31,Crenshaw,Alabama,954,36
2020-12-31,Cullman,Alabama,7079,78
2020-12-31,Dale,Alabama,3325,63
2020-12-31,Dallas,Alabama,2769,43
2020-12-31,DeKalb,Alabama,6900,61
2020-12-31,Elmore,Alabama,6435,83
2020-12-31,Escambia,Alabama,2661,34
2020-12-31,Etowah,Alabama,10031,94
2020-12-31,Fayette,Alabama,1430,19
2020-12-31,Franklin,Alabama,3270,37
2020-12-31,Geneva,Alabama,1677,20
2020-12-31,Greene,Alabama,672,20
2020-12-31,Hale,Alabama,1440,33
2020-12-31,Henry,Alabama,1247,8
2020-12-31,Houston,Alabama,7279,64
2020-12-31,Jackson,Alabama,5097,34
2020-12-31,Jefferson,Alabama,52339,697
2020-12-31,Lamar,Alabama,1056,15
2020-12-31,Lauderdale,Alabama,6478,70
2020-12-31,Lawrence,Alabama,2044,42
2020-12-31,Lee,Alabama,10320,75
2020-12-31,Limestone,Alabama,6822,58
2020-12-31,Lowndes,Alabama,945,32
2020-12-31,Macon,Alabama,999,30
2020-12-31,Madison,Alabama,22197,178
2020-12-31,Marengo,Alabama,1793,26
2020-12-31,Marion,Alabama,2087,43
2020-12-31,Marshall,Alabama,9189,86
2020-12-31,Mobile,Alabama,25858,506
2020-12-31,Monroe,Alabama,1215,11
2020-12-31,Montgomery,Alabama,16116,276
2020-12-31,Morgan,Alabama,10627,87
2020-12-31,Perry,Alabama,867,10
2020-12-31,Pickens,Alabama,1734,26
2020-12-31,Pike,Alabama,2023,23
2020-12-31,Randolph,Alabama,1245,30
2020-12-31,Russell,Alabama,2793,6
2020-12-31,Shelby,Alabama,15668,103
2020-12-31,St. Clair,Alabama,6467,73
2020-12-31,Sumter,Alabama,849,24
2020-12-31,Talladega,Alabama,5165,75
2020-12-31,Tallapoosa,Alabama,2368,98
2020-12-31,Tuscaloosa,Alabama,18468,218
2020-12-31,Walker,Alabama,5259,138
2020-12-31,Washington,Alabama,1184,24
2020-12-31,Wilcox,Alabama,883,19
2020-12-31,Winston,Alabama,1968,30
2020-12-31,Aleutians East Borough,Alaska,38,0
2020-12-31,Aleutians West Census Area,Alaska,197,0
2020-12-31,Anchorage,Alaska,22820,118
2020-12-31,Bethel Census Area,Alaska,2427,9
2020-12-31,Bristol Bay plus Lake and Peninsula,Alaska,157,0
2020-12-31,Denali Borough,Alaska,59,0
2020-12-31,Dillingham Census Area,Alaska,121,1
2020-12-31,Fairbanks North Star Borough,Alaska,4900,19
2020-12-31,Haines Borough,Alaska,20,0
2020-12-31,Juneau City and Borough,Alaska,1030,3
2020-12-31,Kenai Peninsula Borough,Alaska,3604,15
2020-12-31,Ketchikan Gateway Borough,Alaska,236,0
2020-12-31,Kodiak Island Borough,Alaska,912,2
2020-12-31,Kusilvak Census Area,Alaska,767,2
2020-12-31,Matanuska-Susitna Borough,Alaska,6353,16
2020-12-31,Nome Census Area,Alaska,275,0
2020-12-31,North Slope Borough,Alaska,798,2
2020-12-31,Northwest Arctic Borough,Alaska,401,0
2020-12-31,Petersburg Borough,Alaska,27,0
2020-12-31,Prince of Wales-Hyder Census Area,Alaska,67,1
2020-12-31,Sitka City and Borough,Alaska,266,0
2020-12-31,Skagway Municipality,Alaska,16,0
2020-12-31,Southeast Fairbanks Census Area,Alaska,406,3
2020-12-31,Unknown,Alaska,218,0
2020-12-31,Valdez-Cordova Census Area,Alaska,341,2
2020-12-31,Wrangell City and Borough,Alaska,24,0
2020-12-31,Yakutat plus Hoonah-Angoon,Alaska,51,1
2020-12-31,Yukon-Koyukuk Census Area,Alaska,209,4
2020-12-31,Apache,Arizona,7438,237
2020-12-31,Cochise,Arizona,7480,130
2020-12-31,Coconino,Arizona,11126,210
2020-12-31,Gila,Arizona,4517,135
2020-12-31,Graham,Arizona,3228,51
2020-12-31,Greenlee,Arizona,400,4
2020-12-31,La Paz,Arizona,1464,35
2020-12-31,Maricopa,Arizona,322449,5125
2020-12-31,Mohave,Arizona,12573,344
2020-12-31,Navajo,Arizona,11296,342
2020-12-31,Pima,Arizona,69522,1064
2020-12-31,Pinal,Arizona,27649,367
2020-12-31,Santa Cruz,Arizona,6002,98
2020-12-31,Yavapai,Arizona,11319,218
2020-12-31,Yuma,Arizona,27366,519
2020-12-31,Arkansas,Arkansas,1314,30
2020-12-31,Ashley,Arkansas,1273,21
2020-12-31,Baxter,Arkansas,2065,71
2020-12-31,Benton,Arkansas,17758,264
2020-12-31,Boone,Arkansas,2571,68
2020-12-31,Bradley,Arkansas,940,11
2020-12-31,Calhoun,Arkansas,234,1
2020-12-31,Carroll,Arkansas,2073,30
2020-12-31,Chicot,Arkansas,1410,30
2020-12-31,Clark,Arkansas,1371,21
2020-12-31,Clay,Arkansas,1317,30
2020-12-31,Cleburne,Arkansas,1236,38
2020-12-31,Cleveland,Arkansas,571,17
2020-12-31,Columbia,Arkansas,1567,41
2020-12-31,Conway,Arkansas,1306,16
2020-12-31,Craighead,Arkansas,10077,136
2020-12-31,Crawford,Arkansas,4451,58
2020-12-31,Crittenden,Arkansas,4319,73
2020-12-31,Cross,Arkansas,1394,36
2020-12-31,Dallas,Arkansas,482,11
